,Negemo,Posemo,Work
abandoned,3.0,,
absent,,,1.0
abuse,17.0,,
abused,3.0,,
abuser,1.0,,
abusing,4.0,,
abusive,13.0,,
abusively,1.0,,
academia,,,1.0
academic,,,30.0
academically,,,10.0
academics,,,22.0
academy,,,5.0
accept,,31.0,
acceptable,,21.0,
acceptance,,10.0,
acceptances,,1.0,
accepted,,18.0,
accepting,,10.0,
accepts,,2.0,
accomplish,,,5.0
accomplished,,,9.0
accomplishing,,,2.0
accomplishment,,,3.0
accomplishments,,,8.0
aches,1.0,,
achievable,,,1.0
achieve,,,10.0
achieved,,,5.0
achievement,,,5.0
achievements,,,7.0
aching,1.0,,
active,,14.0,
actively,,9.0,
administration,,,37.0
administrative,,,2.0
administrator,,,3.0
administrators,,,3.0
admiration,,3.0,
admire,,7.0,
admired,,1.0,
admirer,,4.0,
admiring,,1.0,
adorable,,9.0,
adore,,2.0,
advantage,,17.0,
advantages,,1.0,
adventure,,2.0,
adventures,,2.0,
adverse,1.0,,
adversity,7.0,,
"adversity

your",1.0,,
"adversity
your",1.0,,
advertising,,,6.0
advise,,,1.0
advised,,,1.0
adviser,,,3.0
advisers,,,2.0
advising,,,1.0
advisor,,,15.0
advisors,,,1.0
advisory,,,1.0
affection,,2.0,
affectionate,,2.0,
affections,,1.0,
afraid,96.0,,
agent,,,1.0
agents,,,3.0
aggravating,1.0,,
aggression,1.0,,
aggressions,1.0,,
aggressive,4.0,,
aggressively,1.0,,
aggressiveness,1.0,,
"aggressor
loss",1.0,,
agitated,1.0,,
agonizing,4.0,,
agony,1.0,,
agree,,43.0,
agreed,,10.0,
agreeing,,3.0,
agreement,,3.0,
agreements,,3.0,
agrees,,5.0,
alarm,11.0,,
alarmed,1.0,,
alarming,3.0,,
alarmingly,2.0,,
alarms,4.0,,
alone,128.0,,
alright,,12.0,
"alright

whenever",,1.0,
amazed,,5.0,
amazes,,2.0,
amazing,,101.0,
amazinglooking,,1.0,
amazingly,,2.0,
amazon,,7.0,
ambition,,,2.0
ambitious,,,10.0
amused,,2.0,
amusement,,1.0,
amusing,,3.0,
anger,19.0,,
angers,1.0,,
angriest,1.0,,
angrily,6.0,,
angry,42.0,,
"angry
7",1.0,,
angryfuck,1.0,,
angrysaddepressed,1.0,,
angrythreateningstop,1.0,,
anguish,4.0,,
annoy,7.0,,
"annoyance

i",1.0,,
annoyed,17.0,,
"annoyed

in",1.0,,
annoying,48.0,,
"annoying
but",1.0,,
annoyingly,2.0,,
annoys,2.0,,
antagonistic,1.0,,
antagonize,1.0,,
anxiety,42.0,,
anxiety™,1.0,,
anxious,8.0,,
apathetic,8.0,,
apathy,2.0,,
appalled,1.0,,
applicant,,,1.0
applicants,,,1.0
application,,,10.0
applications,,,14.0
appreciate,,41.0,
appreciated,,8.0,
appreciates,,1.0,
appreciating,,3.0,
appreciation,,3.0,
appreciative,,1.0,
arguably,1.0,,
argue,17.0,,
argued,6.0,,
arguing,6.0,,
argument,37.0,,
"argument

please",1.0,,
arguments,12.0,,
"arguments

why",2.0,,
arrogance,4.0,,
arrogant,4.0,,
ashamed,13.0,,
assault,31.0,,
assaulted,13.0,,
asshole,22.0,,
"asshole

sincerely
every",1.0,,
assholes,20.0,,
"assholes

2",1.0,,
assign,,,4.0
assigned,,,6.0
assigning,,,3.0
assignment,,,14.0
"assignmentprojects
interested",,,1.0
assignments,,,14.0
assignmentsjust,,,1.0
assistance,,,1.0
assistance”,,,1.0
assistant,,,1.0
associate,,,3.0
associated,,,6.0
association,,,6.0
assurance,,3.0,
assure,,3.0,
assured,,1.0,
assuredly,,1.0,
attachment,,5.0,
attachments,,1.0,
attack,26.0,,
attacked,9.0,,
attacking,5.0,,
attacks,14.0,,
"attacks

2",1.0,,
attract,,2.0,
attracted,,33.0,
attraction,,10.0,
attractionlovey,,1.0,
attractive,,89.0,
"attractive
–the",,1.0,
attractiveness,,4.0,
avoid,28.0,,
"avoid

i",1.0,,
avoidant,1.0,,
avoided,4.0,,
avoiding,5.0,,
avoids,1.0,,
award,,4.0,4.0
awarded,,1.0,1.0
awards,,6.0,6.0
awesome,,60.0,
awful,33.0,,
awkward,67.0,,
awkwardly,4.0,,
awkwardness,4.0,,
bad,289.0,,
bastard,3.0,,
bastards,1.0,,
battle,6.0,,
battlefieldearth,1.0,,
battlenet,1.0,,
battles,2.0,,
battling,1.0,,
beaten,4.0,,4.0
beautiful,,71.0,
beautifully,,1.0,
beautifuly,,1.0,
beauty,,4.0,
beneficial,,1.0,
beneficially,,1.0,
benefit,,13.0,
benefits,,22.0,22.0
"benevolent

httpsenmwikipediaorgwikifibrodysplasiaossificansprogressiva",,1.0,
benign,,1.0,
best,,284.0,
better,,359.0,
biological,,,6.0
biologically,,,1.0
biology,,,19.0
bitch,33.0,,
"bitch

i",1.0,,
"bitch

this",1.0,,
"bitch
4",1.0,,
"bitch
mit",2.0,,
bitchass,1.0,,
bitches,10.0,,
bitching,10.0,,
bitchingsconfessions,1.0,,
bitchtheworldmakesmeunhappy,1.0,,
bitchy,7.0,,
bitter,12.0,,
"bitter

sincerely
a",1.0,,
bitterness,1.0,,
bittersweet,3.0,,
blame,19.0,,
blamed,4.0,,
blaming,3.0,,
bless,,12.0,
blessed,,5.0,
blessing,,1.0,
"blessing

thank",,1.0,
bold,,2.0,
bonus,,3.0,
book,,,18.0
"book
the",,,1.0
bookbagshe,,,1.0
booklets,,,1.0
books,,,12.0
bored,15.0,,
boredom,1.0,,
"boredom

3",1.0,,
boring,18.0,,
boss,,,2.0
bossed,,,1.0
bosses,,,1.0
bother,19.0,,
bothered,9.0,,
"bothered
by",1.0,,
bothering,10.0,,
bothers,12.0,,
brave,,6.0,
bravery,,1.0,
bright,,10.0,
"bright

at",,1.0,
brightened,,1.0,
brighter,,5.0,
brightest,,1.0,
brightness,,1.0,
brilliance,,1.0,
brilliant,,18.0,
broke,48.0,,
brutal,4.0,,
brutality,3.0,,
brutally,2.0,,
burden,7.0,,
burdened,1.0,,
burdens,1.0,,
bureau,,,3.0
bureaucracies,,,1.0
business,,,30.0
businesses,,,3.0
businessesngos,,,1.0
businessmen,,,1.0
businesstype,,,1.0
busy,,,47.0
calculus,,,1.0
calm,,19.0,
calming,,3.0,
calmly,,4.0,
campus,,,256.0
"campus
",,,2.0
"campus

because",,,1.0
"campus

to",,,1.0
"campus

try",,,1.0
campuses,,,4.0
campusi,,,1.0
campuslinks,,,1.0
campuss,,,1.0
campuswide,,,4.0
campus’,,,1.0
care,,249.0,
cared,,23.0,
career,,,43.0
"career

although",,,1.0
"career
no",,,1.0
careers,,,1.0
carefree,,3.0,
careful,,2.0,
carefully,,3.0,
cares,,29.0,
caring,,26.0,
casual,,13.0,
casually,,9.0,
ceos,,,1.0
certain,,73.0,
certainly,,23.0,
certificate,,,2.0
certificates,,,1.0
certification,,,2.0
certifying,,,2.0
chairmen,,,1.0
chalk,,,5.0
challenge,,13.0,13.0
challenged,,5.0,5.0
challenges,,10.0,10.0
challenging,,6.0,6.0
champagne,,1.0,1.0
champion,,1.0,1.0
champions,,2.0,2.0
"championship
little",,1.0,1.0
charities,,2.0,
charity,,10.0,
charm,,4.0,
charming,,6.0,
"charming
tell",,1.0,
charms,,1.0,
cheat,6.0,,
cheated,7.0,,
cheater,1.0,,
cheating,11.0,,
"cheating

most",1.0,,
cheats,1.0,,
cheatsheet,1.0,,
cheer,,4.0,
cheerful,,1.0,
cheerfully,,1.0,
"cheerfully
girlfriend",,1.0,
cheering,,1.0,
cheerleader,,1.0,
cheerleaders,,1.0,
cheers,,1.0,
cherish,,6.0,
chuckle,,1.0,
class,,,428.0
classes,,,262.0
classmate,,,2.0
classmates,,,13.0
classroom,,,12.0
classrooms,,,6.0
clever,,7.0,
collaborate,,,1.0
"collaboration

tldr",,,1.0
collaborations,,,1.0
collaborative,,,1.0
colleague,,,1.0
colleagues,,,3.0
college,,,107.0
"college

as",,,1.0
"college

i",,,1.0
collegeconfidential,,,1.0
collegerelationships,,,1.0
colleges,,,12.0
com,,,2.0
comedian,,1.0,
comedic,,2.0,
comedown,,1.0,
comedy,,1.0,
comfort,,12.0,
comfortable,,42.0,
comforting,,3.0,
commercial,,,1.0
commercialadvertisement,,,1.0
commercials,,,1.0
commitment,,7.0,
commitments,,2.0,
commute,,,1.0
companies,,,21.0
company,,,25.0
compassion,,2.0,
compassionate,,1.0,
complain,54.0,,
complained,1.0,,
complaining,58.0,,
complainingabouthavingeverythingineed,1.0,,
complains,3.0,,
complaint,5.0,,
complaintalk,1.0,,
complaints,13.0,,
complaintsirony,1.0,,
compliment,,6.0,
"compliment
httpswwwfacebookcommitcompliments7",,1.0,
compliments,,14.0,
computational,,,1.0
computed,,,2.0
computer,,,15.0
computers,,,7.0
"computers

ok",,,1.0
conference,,,1.0
conferences,,,1.0
confidence,,21.0,
confident,,17.0,
confidently,,1.0,
confront,7.0,,
confrontational,1.0,,
confronted,2.0,,
confronting,1.0,,
confuse,2.0,,
confused,45.0,,
confuses,4.0,,
confusing,6.0,,
confusion,5.0,,
considerate,,4.0,
consult,,,3.0
consultancy,,,1.0
consultant,,,1.0
consulting,,,1.0
consumer,,,2.0
consumerism,,,1.0
contempt,2.0,,
contemptible,1.0,,
contradiction,1.0,,
contradictory,3.0,,
convince,,18.0,
convinced,,13.0,
convincing,,4.0,
convincingly,,2.0,
cool,,71.0,
corporate,,,4.0
corporation,,,1.0
corporations,,,4.0
corps,,,2.0
council,,,20.0
councils,,,3.0
counseling,,,4.0
counselor,,,2.0
courage,,23.0,
course,,,203.0
"course

its",,,1.0
"course

the",,,1.0
course10,,,1.0
course10ftw,,,1.0
course1ftw,,,1.0
course3bonding,,,1.0
courseload,,,2.0
courseroad,,,1.0
courses,,,11.0
coursesixbestcourse,,,1.0
coursesixcoursesex,,,1.0
coursesixjokesinbed,,,1.0
coursevi,,,1.0
coursework,,,5.0
coworker,,,1.0
coworkers,,,1.0
crap,22.0,,
crappy,3.0,,
crazily,1.0,,
craziness,2.0,,
crazy,63.0,,
crazydaring,1.0,,
create,,24.0,
created,,23.0,
creates,,6.0,
creating,,7.0,
creationism,,1.0,
creative,,8.0,
creatively,,1.0,
credentials,,,2.0
credit,,24.0,24.0
creditdebit,,1.0,1.0
credits,,4.0,4.0
cried,18.0,,
cries,3.0,,
critical,5.0,,
criticise,1.0,,
criticism,8.0,,
criticize,4.0,,
criticizing,6.0,,
cruel,8.0,,
crueler,1.0,,
cruelest,1.0,,
cruelly,1.0,,
cruelty,2.0,,
crushed,12.0,,
cry,63.0,,
crying,53.0,,
cunt,4.0,,
cunts,2.0,,
curriculum,,,1.0
customer,,,3.0
customers,,,2.0
cut,44.0,,
cute,,96.0,
"cute

if",,1.0,
"cute
if",,1.0,
"cute
pps",,1.0,
cutefunny,,1.0,
cuteness,,1.0,
cutenever,,1.0,
cuter,,2.0,
cutest,,6.0,
cutie,,2.0,
cynic,1.0,,
cynical,5.0,,
damage,17.0,,
damaged,3.0,,
damages,1.0,,
damaging,1.0,,
damn,109.0,,
damndest,6.0,,
damned,2.0,,
damnedest,1.0,,
damnit,2.0,,
damnnnnnnnn,1.0,,
danger,10.0,,
dangerous,4.0,,
danger”,1.0,,
deadline,,,10.0
"deadline
really",,,1.0
deadlines,,,5.0
dean,,,14.0
deans,,,7.0
dear,,65.0,
dearest,,1.0,
dearladies,,1.0,
dearly,,2.0,
"dearly
im",,1.0,
decaying,1.0,,
defeat,3.0,,
defectors,1.0,,
defense,6.0,,
defensible,1.0,,
defensive,2.0,,
definite,,2.0,
definitely,,61.0,
degrading,1.0,,
delicate,,1.0,
delicately,,1.0,
delicious,,6.0,
delight,,1.0,
delightedly,,1.0,
delightful,,1.0,
department,,,24.0
"department

that",,,1.0
departments,,,4.0
department’s,,,1.0
depressed,60.0,,
depressing,17.0,,
depression,60.0,,
"depressionanxiety

im",1.0,,
depressionprocrastinationstress,1.0,,
depressionsuicidal,1.0,,
depressive,1.0,,
deprivation,2.0,,
deprive,1.0,,
deprived,5.0,,
depriving,3.0,,
dept,,,2.0
desk,,,20.0
"desk

i",,,1.0
desks,,,2.0
desktop,,,1.0
despair,4.0,,
"despair
as",1.0,,
desperate,13.0,,
desperately,8.0,,
despise,4.0,,
destroy,12.0,,
destroyed,13.0,,
"destroyed

then",1.0,,
destroyer,1.0,,
destroying,7.0,,
destroys,2.0,,
destruct,1.0,,
destruction,11.0,,
destructive,3.0,,
"destructive
white",1.0,,
determination,,3.0,
determined,,4.0,
devastated,5.0,,
devastating,3.0,,
devastatingly,1.0,,
devil,5.0,,
devils,2.0,,
devote,,2.0,
devoted,,1.0,
devotion,,2.0,
difficult,57.0,,
"difficult

but",1.0,,
difficulties,7.0,,
difficulty,2.0,,
dignity,,2.0,
diploma,,,2.0
diplomatic,,,1.0
directory,,,1.0
disadvantage,2.0,,
disagree,15.0,,
disagreeable,1.0,,
disagreed,2.0,,
disagreeing,4.0,,
disagreement,1.0,,
disagreements,2.0,,
disagrees,1.0,,
disappoint,3.0,,
disappointed,28.0,,
disappointing,4.0,,
disappointment,6.0,,
disaster,4.0,,
discomfort,3.0,,
discouraged,7.0,,
discourages,1.0,,
discouraging,3.0,,
disgust,5.0,,
disgusted,10.0,,
disgusting,28.0,,
disgustthen,1.0,,
disheartening,2.0,,
disillusioned,1.0,,
dislike,12.0,,
dislikes,1.0,,
disliking,1.0,,
distract,3.0,,
distracted,1.0,,
distracting,7.0,,
distraction,3.0,,
distractions,1.0,,
disturb,1.0,,
disturbed,3.0,,
disturbing,5.0,,
divine,,5.0,
"divine

its",,1.0,
diving,,1.0,
divining,,1.0,
doctor,,,21.0
doctors,,,9.0
dominance,1.0,,
dominant,4.0,,
dominate,1.0,,
dominated,3.0,,
dominating,3.0,,
domination,2.0,,
doom,2.0,,
doomed,2.0,,
dorks,1.0,,
dorky,2.0,,
dorm,,,115.0
dormant,,,1.0
dormcon,,,8.0
dorms,,,39.0
"dorms

go",,,1.0
"dorms
could",,,1.0
"dorms
i",,,1.0
dormsdont,,,1.0
dormsfsilgs,,,1.0
dormspam,,,1.0
doubt,32.0,,
"doubt

",1.0,,
doubted,4.0,,
doubts,4.0,,
dread,2.0,,
dreaded,1.0,,
dreading,3.0,,
dreadlocks,1.0,,
dropout,,,1.0
dull,4.0,,
dumb,30.0,,
dumbass,2.0,,
"dumbass

i’ll",1.0,,
dumbasses,1.0,,
dumber,2.0,,
dumbest,2.0,,
dumbie,1.0,,
dumbocracy,1.0,,
dump,7.0,,
"dump
i",1.0,,
dumped,2.0,,
dumping,1.0,,
dumpling,1.0,,
dumps,1.0,,
dumpster,1.0,,
dumpy,1.0,,
duties,,,1.0
dutifully,,,1.0
duty,,,7.0
dwelling,1.0,,
dynamic,,4.0,
dynamics,,6.0,
eager,,3.0,
eagerly,,4.0,
earn,,,7.0
earn8801672320145,,,1.0
earned,,,3.0
"earned
means",,,1.0
earnings,,,1.0
ease,,5.0,
easier,,44.0,
"easier
thanks",,1.0,
easiest,,5.0,
easily,,28.0,
easy,,83.0,
easyhard,,1.0,
easyif,,1.0,
economic,,,14.0
economically,,,3.0
economics,,,3.0
economist,,,1.0
economists,,,1.0
economy,,,11.0
edit,,,1.0
editing,,,1.0
editions,,,1.0
educate,,,9.0
educated,,,1.0
educating,,,1.0
education,,,46.0
educational,,,1.0
efficient,,2.0,
efficiently,,3.0,
egotistical,1.0,,
elegant,,2.0,
elementary,,,3.0
embarrassed,17.0,,
embarrasses,1.0,,
embarrassing,2.0,,
embarrassment,10.0,,
emotional,36.0,,
employ,,,1.0
employability,,,1.0
employed,,,1.0
employee,,,2.0
"employee
10",,,1.0
"employee
12",,,1.0
employees,,,6.0
employer,,,1.0
employers,,,4.0
employing,,,1.0
employment,,,1.0
emptiness,2.0,,
empty,21.0,,
encourage,,9.0,
encouraged,,4.0,
encouragement,,1.0,
encourages,,4.0,
encouraging,,9.0,
enemies,7.0,,
enemy,10.0,,
energetic,,3.0,
energy,,28.0,
engage,,4.0,
engaged,,3.0,
engagement,,1.0,
engaging,,2.0,
enjoy,,74.0,
enjoyable,,5.0,
enjoyed,,15.0,
enjoying,,14.0,
enjoyment,,3.0,
enjoys,,3.0,
enrage,1.0,,
enraged,1.0,,
entertaining,,4.0,
"entertaining

a",,1.0,
entertainment,,3.0,
"entertainment

",,1.0,
enthusiasm,,1.0,
enthusiastic,,6.0,
enthusiasts,,1.0,
envious,1.0,,
envy,7.0,,
evil,19.0,,
"evil
there",1.0,,
exam,,,98.0
exams,,,57.0
excel,,3.0,3.0
exceland,,1.0,1.0
excellence,,5.0,5.0
excellent,,3.0,3.0
excelling,,1.0,1.0
excited,,56.0,
excitement,,5.0,
excitements,,1.0,
excites,,1.0,
exciting,,7.0,
excruciating,2.0,,
excruciatingly,1.0,,
executive,,,3.0
exhausted,7.0,,
exhausting,4.0,,
"exhausting
me",1.0,,
expel,,,2.0
expelled,,,3.0
fabulous,,3.0,
faculties,,,1.0
faculty,,,15.0
fail,34.0,,34.0
"fail
4",1.0,,1.0
"fail
also",1.0,,1.0
failed,33.0,,33.0
failing,33.0,,33.0
fails,7.0,,7.0
failsafe,1.0,,1.0
failure,24.0,,24.0
failures,3.0,,3.0
faith,,16.0,
faithful,,1.0,
fake,35.0,,
fantastic,,19.0,
fantasticthat,,1.0,
fatal,1.0,,
fault,29.0,,
faults,1.0,,
faulttolerance,1.0,,
favor,,9.0,
favorable,,2.0,
favorite,,39.0,
"favorite”
bw",,1.0,
favors,,4.0,
favortie,,1.0,
favour,,1.0,
favourite,,1.0,
fear,47.0,,
fearful,1.0,,
fearing,1.0,,
fearlessly,,1.0,
fears,5.0,,
feedback,,,8.0
festival,,1.0,
festivals,,1.0,
fiery,1.0,,
fight,41.0,,
fightagainst,1.0,,
fighter,1.0,,
"fighters

why",1.0,,
fighting,17.0,,
fights,4.0,,
finals,,,134.0
finance,,,3.0
finances,,,1.0
financial,,,14.0
financially,,,5.0
fine,,55.0,
fired,9.0,,9.0
firing,,,3.0
flattering,,1.0,
flattery,,1.0,
"flawless
he",,1.0,
flexibility,,1.0,
flexible,,4.0,
flirt,,5.0,
flirted,,1.0,
flirting,,9.0,
flirty,,3.0,
flunk,1.0,,
flunked,1.0,,
fond,,3.0,
fondly,,1.0,
fool,3.0,,
fooling,1.0,,
foolish,3.0,,
foolishly,3.0,,
fools,5.0,,
forbid,2.0,,
forbids,1.0,,
forgave,,1.0,
