,Negemo,Posemo,Work
privileges,,3.0,
privileging,,1.0,
prize,,3.0,
prizes,,1.0,
problem,158.0,,
problematic,6.0,,
probleminhibition,1.0,,
problems,93.0,,
problemsfeelings,1.0,,
problemsknowledge,1.0,,
"problem”

i",1.0,,
procrastinate,,,14.0
procrastinated,,,3.0
procrastinatelikethereisnotomorrow,,,1.0
procrastinating,,,6.0
procrastination,,,4.0
procrastinator,,,2.0
produce,,,5.0
produced,,,1.0
produces,,,2.0
producing,,,2.0
product,,,6.0
production,,,5.0
"production

ex",,,1.0
productive,,,15.0
"productive
but",,,1.0
products,,,4.0
"products
3",,,1.0
prof,,,24.0
profession,,,2.0
professional,,,9.0
professionalcould,,,1.0
professionally,,,1.0
professionals,,,1.0
professor,,,96.0
"professor
yes",,,2.0
professorbest,,,1.0
professorial,,,1.0
professors,,,84.0
professorsadvisors,,,1.0
professorslecturers,,,1.0
profit,,5.0,5.0
profitable,,1.0,1.0
profs,,,6.0
program,,,7.0
programmer,,,2.0
programmers,,,1.0
programming,,,5.0
programs,,,10.0
projects,,,32.0
prom,,,1.0
promiscuous,,3.0,
promise,,9.0,
promised,,15.0,
promises,,4.0,
promising,,1.0,
promote,,,5.0
promotes,,,1.0
promoting,,,5.0
promotional,,,1.0
promotions,,,1.0
protest,4.0,,
protested,1.0,,
protesting,3.0,,
proud,,46.0,
proudly,,3.0,
psychological,,,7.0
psychologist,,,2.0
psychologists,,,1.0
psychology,,,3.0
publish,,,2.0
puke,3.0,,
puking,2.0,,
punish,1.0,,
punishable,1.0,,
punished,2.0,,
"punished

but",1.0,,
punishes,1.0,,
punishing,2.0,,
punishment,4.0,,
punishments,2.0,,
qualified,,,10.0
qualifies,,,1.0
quiz,,,1.0
quizzes,,,4.0
radiance,,1.0,
rage,6.0,,
ragequit,1.0,,
ragers,1.0,,
raging,8.0,,
rape,37.0,,
"rape
that",1.0,,
raped,17.0,,
"raped
does",1.0,,
"raped
im",1.0,,
rapedbymit,1.0,,
raping,3.0,,
rapist,11.0,,
rapists,5.0,,
ready,,35.0,
reassure,,1.0,
reassured,,1.0,
rebel,4.0,,
"rebel

i",1.0,,
rebels,1.0,,
recruit,,,4.0
recruited,,,2.0
recruiters,,,3.0
recruiting,,,4.0
recruitment,,,5.0
"recruitment

youre",,,1.0
reeks,1.0,,
register,,,11.0
registered,,,4.0
registering,,,1.0
registers,,,1.0
registrars,,,1.0
registration,,,6.0
regret,30.0,,
regrets,1.0,,
regretted,4.0,,
regretting,5.0,,
reject,8.0,,
rejected,29.0,,
rejecting,2.0,,
rejection,13.0,,
"rejection
",1.0,,
rejections,1.0,,
rejects,3.0,,
relax,,6.0,
relaxation,,1.0,
relaxes,,1.0,
relaxing,,4.0,
relief,,4.0,
relieve,,3.0,
relieved,,3.0,
reliever,,1.0,
reluctant,4.0,,
reluctantly,2.0,,
remorse,1.0,,
report,,,23.0
reported,,,5.0
reporter,,,2.0
reporters,,,1.0
reporting,,,2.0
reports,,,4.0
repressed,1.0,,
require,,,10.0
required,,,13.0
requirement,,,11.0
requirements,,,2.0
requires,,,7.0
requiring,,,3.0
research,,,56.0
researched,,,1.0
researchers,,,4.0
researching,,,1.0
resent,1.0,,
resentful,1.0,,
resentment,8.0,,
resentments,1.0,,
resign,1.0,,
resignation,2.0,,
resigned,1.0,,
resolve,,2.0,
resolved,,2.0,
resolving,,1.0,
resource,,,5.0
resources,,,17.0
responsibilities,,,3.0
responsibility,,,16.0
responsibilityunderstanding,,,1.0
responsible,,,22.0
resume,,,9.0
retire,,,1.0
retirees,,,1.0
retirement,,,1.0
retires,,,1.0
revenge,2.0,,
review,,,11.0
reviewers,,,2.0
reviewing,,,3.0
reviews,,,1.0
reward,,6.0,
rewarding,,2.0,
"rewarding
i",,1.0,
rewards,,1.0,
rewardseeking,,1.0,
rhetoric,,,7.0
rhetorical,,,2.0
rich,,24.0,
richard,,1.0,
richer,,1.0,
richest,,1.0,
ridicule,1.0,,
ridiculed,1.0,,
ridiculous,30.0,,
"ridiculous

one",1.0,,
ridiculously,13.0,,
rigid,1.0,,
risk,15.0,,
riskier,1.0,,
risking,2.0,,
risky,1.0,,
romance,,1.0,
romantic,,22.0,
romantically,,5.0,
romanticand,,1.0,
romanticsexual,,1.0,
rude,22.0,,
"rude
2",1.0,,
rudely,2.0,,
rudeness,1.0,,
ruin,13.0,,
ruined,14.0,,
"ruined
",1.0,,
ruining,12.0,,
ruins,1.0,,
sad,113.0,,
saddens,5.0,,
saddest,1.0,,
sadly,2.0,,
sadness,10.0,,
safe,,32.0,
safely,,2.0,
safer,,3.0,
saferide,,7.0,
saferidewhat,,1.0,
safespace,,2.0,
safety,,12.0,
salaries,,,6.0
salary,,,1.0
sarcasm,3.0,,
sarcastic,2.0,,
sarcastically,1.0,,
satisfaction,,6.0,
"satisfaction
i",,1.0,
satisfied,,7.0,
satisfy,,1.0,
satisfying,,6.0,
"satisfying
umm",,1.0,
satisfyingly,,1.0,
savage,8.0,,
savages,3.0,,
save,,39.0,
scare,6.0,,
scarecely,1.0,,
scared,70.0,,
scarednervous,1.0,,
scares,7.0,,
scaring,2.0,,
scary,17.0,,
scholarship,,,1.0
scholarships,,,2.0
school,,,291.0
"school

agh",,,1.0
"school

pepe",,,1.0
schooled,,,1.0
schoolemployment,,,1.0
schooler,,,2.0
schoolers,,,3.0
schooling,,,1.0
schools,,,44.0
"schools
5",,,1.0
schoolwide,,,1.0
schoolwork,,,11.0
schoolyear,,,1.0
school…no,,,1.0
science,,,42.0
"science
2",,,1.0
"science
3",,,1.0
scienceengineering,,,2.0
"scienceengineeringmath
future",,,1.0
sciences,,,2.0
scienceu,,,1.0
scientific,,,7.0
"scientifically
realize",,,1.0
scientist,,,4.0
scientists,,,5.0
"scientists
4",,,1.0
"scientists
5",,,1.0
scream,9.0,,
screamin,1.0,,
screaming,16.0,,
"screaming

i",1.0,,
"screaming

parents",1.0,,
screamo,1.0,,
screams,1.0,,
screw,8.0,,
screwed,18.0,,
screwy,1.0,,
secretary,,,1.0
secure,,10.0,
securing,,1.0,
security,,26.0,
"security
and",,1.0,
selfish,23.0,,
selfishly,1.0,,
semester,,,215.0
"semester

carlos",,,1.0
"semester

didnt",,,1.0
"semester

fuck",,,1.0
"semester

terms",,,1.0
"semester
happily",,,1.0
"semester
movingtobarker
seeyouinaweek",,,1.0
semesteriapthe,,,1.0
semesterlong,,,1.0
semesterlooking,,,1.0
semesterly,,,1.0
semesters,,,11.0
semesterthinking,,,1.0
semesteryear,,,2.0
semester…,,,1.0
senior,,,178.0
"senior

wasnt",,,1.0
seniorhaus,,,1.0
senioritis,,,3.0
seniors,,,18.0
senioryear,,,1.0
serious,57.0,,
seriously,109.0,,
seriousness,1.0,,
service,,,15.0
"service
person",,,1.0
servicephilanthropy,,,1.0
services,,,15.0
session,,,6.0
sessions,,,7.0
severe,9.0,,
severed,1.0,,
severely,5.0,,
shake,5.0,,
shakes,1.0,,
shakin,2.0,,
shaking,7.0,,
shaky,1.0,,
shame,28.0,,
shamed,2.0,,
shameful,1.0,,
shameless,1.0,,
shamelessly,2.0,,
share,,59.0,
shared,,11.0,
shares,,1.0,
sharing,,9.0,
shit,348.0,,
"shit

i",1.0,,
"shit

yet",1.0,,
"shit

youre",1.0,,
"shit
3",1.0,,
"shit
can",1.0,,
"shit
i",3.0,,
"shit
lights",1.0,,
"shitboxes

why",1.0,,
shitdisturbing,1.0,,
shitfaced,5.0,,
shitheads,1.0,,
shitheels,1.0,,
shithole,1.0,,
shitlets,1.0,,
shitlibs,1.0,,
shitpost,1.0,,
shitposters,2.0,,
shitposting,4.0,,
shitposts,3.0,,
shits,8.0,,
shitshow,3.0,,
shitstorm,2.0,,
shittier,1.0,,
shittiest,5.0,,
shittily,1.0,,
shitting,7.0,,
shitton,2.0,,
shittons,1.0,,
shitty,76.0,,
shittyspammy,1.0,,
shock,13.0,,
shocked,7.0,,
shocker,1.0,,
shocking,3.0,,
shy,21.0,,
"shy
there",1.0,,
sickening,1.0,,
sickens,2.0,,
silly,,11.0,
sin,2.0,,
sincere,,1.0,
sincereisleyetum,,1.0,
sincerely,,8.0,
sincerity,,2.0,
sins,5.0,,
skeptical,1.0,,
skeptics,2.0,,
slut,11.0,,
sluts,2.0,,
"sluts
some",1.0,,
slutscats,1.0,,
slutshaming,2.0,,
slutshammed,1.0,,
sluttier,1.0,,
slutty,1.0,,
smart,,78.0,
smarter,,19.0,
smartest,,13.0,
smartphones,,1.0,
smartwatch,,1.0,
smile,,66.0,
"smile

never",,1.0,
smiled,,6.0,
smiles,,8.0,
"smiles
you",,1.0,
smiling,,14.0,
smother,1.0,,
smug,2.0,,
sob,2.0,,
sobbed,2.0,,
sobbing,1.0,,
sociable,,2.0,
sophomore,,,36.0
sophomores,,,5.0
sororities,,,6.0
"sororities

sincerely
one",,,1.0
sorority,,,17.0
sororityfraternity,,,1.0
sororitys,,,1.0
sorrow,1.0,,
sorry,113.0,,
soulmate,,1.0,
soulmates,,2.0,
special,,36.0,
spite,4.0,,
spiteful,1.0,,
splendor,,1.0,
staff,,,32.0
staffer,,,1.0
stammered,1.0,,
stapler,,,2.0
startled,1.0,,
startling,3.0,,
steal,5.0,,
stealing,4.0,,
steals,1.0,,
stench,2.0,,
stinks,2.0,,
stinky,2.0,,
stipend,,,1.0
stipends,,,1.0
stock,,,2.0
strange,16.0,,
strength,,10.0,
"strength

the",,1.0,
"strength
now",,1.0,
strengthen,,1.0,
strengthened,,1.0,
strengths,,1.0,
stress,47.0,,
"stress
we",1.0,,
stressed,44.0,,
stresses,6.0,,
stressful,21.0,,
stressing,6.0,,
stresslack,1.0,,
strong,,63.0,
stronger,,16.0,
strongest,,1.0,
strongly,,13.0,
struggle,37.0,,
strugglebus,1.0,,
struggled,3.0,,
struggles,24.0,,
"struggles
but",1.0,,
struggling,39.0,,
stubborn,3.0,,
student,,,247.0
"student
step",,,1.0
studentfaculty,,,1.0
studentprofessor,,,1.0
studentrun,,,1.0
students,,,354.0
"students

i",,,1.0
"students

in",,,1.0
"students

welp",,,1.0
"students
its",,,1.0
"students
now",,,1.0
"students
we",,,1.0
"studentstaff

please",,,1.0
students’,,,2.0
studied,,,4.0
studies,,,7.0
study,,,95.0
studying,,,77.0
"studying
75",,,1.0
studyingworking,,,1.0
studywork,,,1.0
stunned,2.0,,
stupid,85.0,,
"stupid

5",1.0,,
stupidbut,1.0,,
stupidest,1.0,,
stupidity,6.0,,
stupidly,5.0,,
submissive,2.0,,
submissiveare,1.0,,
succeed,,17.0,17.0
succeeded,,3.0,3.0
succeeding,,3.0,3.0
succeeds,,1.0,1.0
success,,22.0,22.0
successes,,2.0,2.0
successful,,20.0,20.0
"successful
oh",,1.0,1.0
successfully,,6.0,6.0
successor,,1.0,1.0
suck,47.0,,
sucked,12.0,,
sucker,4.0,,
suckers,1.0,,
sucks,70.0,,
sucky,2.0,,
suffer,18.0,,
suffered,3.0,,
suffering,15.0,,
sunny,,1.0,
sunshine,,1.0,
super,,103.0,
superior,,4.0,
superiority,,6.0,
supervisor,,,3.0
support,,115.0,
supported,,3.0,
supporter,,15.0,
"supporter
i",,1.0,
supporters,,23.0,
"supporters
leftists",,1.0,
supporterswhat,,1.0,
supporting,,9.0,
supportive,,16.0,
supports,,4.0,
supremacist,,1.0,
supremacy,,2.0,
supreme,,5.0,
sure,,251.0,
surely,,6.0,
surprise,,10.0,
surprised,,7.0,
surprises,,1.0,
surprising,,2.0,
surprisingly,,4.0,
suspicion,2.0,,
suspicious,1.0,,
sweet,,21.0,
sweethearts,,1.0,
sweetly,,1.0,
sweetness,,1.0,
syllabus,,,2.0
talent,,2.0,
talented,,13.0,
talents,,5.0,
tantrum,2.0,,
taught,,,29.0
tax,,,11.0
taxed,,,1.0
taxes,,,20.0
taxing,,,1.0
teach,,,25.0
teacher,,,11.0
teachers,,,17.0
teaches,,,3.0
teaching,,,17.0
teachings,,,1.0
teachmentor,,,1.0
team,,,52.0
"team

please",,,1.0
teamclub,,,1.0
teamgraduate,,,5.0
teaming,,,1.0
teamletsfuckinggraduatemannnn,,,1.0
teammate,,,2.0
teammates,,,5.0
teams,,,10.0
teamsetc,,,1.0
teamsleep,,,1.0
teamtents,,,1.0
teamwork,,,1.0
tears,26.0,,
tease,2.0,,
teaser,1.0,,
teasing,3.0,,
temper,1.0,,
tenderness,,1.0,
tenders,,1.0,
tense,1.0,,
tension,10.0,,
tensions,1.0,,
tenure,,,2.0
terrible,56.0,,
terribly,7.0,,
terrified,23.0,,
terrifies,2.0,,
terrifying,6.0,,
terror,7.0,,
terrorist,9.0,,
terrorists,4.0,,
terrorize,1.0,,
test,,,88.0
tested,,,9.0
testing,,,3.0
tests,,,34.0
textbook,,,5.0
textbooks,,,2.0
thank,,84.0,
thanked,,2.0,
thankful,,21.0,
thankfully,,5.0,
thanks,,74.0,
theses,,,1.0
thesis,,,8.0
thoughtful,,5.0,
threat,4.0,,
threaten,4.0,,
threatened,3.0,,
threatening,2.0,,
threatens,1.0,,
threatensoffends,1.0,,
threats,4.0,,
thrill,,1.0,
tolerance,,8.0,
tolerant,,6.0,
torture,5.0,,
torturing,1.0,,
tough,26.0,,
"tough

i",1.0,,
toughen,1.0,,
tougher,3.0,,
toughest,2.0,,
toughness,1.0,,
trade,,,9.0
traded,,,3.0
tragedies,2.0,,
tragedy,4.0,,
tranquility,,1.0,
transcript,,,6.0
transcripts,,,3.0
transfer,,,14.0
transfered,,,1.0
transferred,,,1.0
transferring,,,2.0
trauma,5.0,,
traumatize,1.0,,
traumatizing,2.0,,
treasuring,,1.0,
treat,,34.0,
tremble,2.0,,
trick,4.0,,
trickle,1.0,,
tricks,3.0,,
triumph,,1.0,
triumphant,,1.0,
trivial,6.0,,
trivializing,1.0,,
trivially,1.0,,
trouble,38.0,,
troubled,1.0,,
troubles,3.0,,
troublesome,1.0,,
truest,,1.0,
truly,,82.0,
trust,,39.0,
trusted,,2.0,
trusting,,2.0,
trusts,,1.0,
trustworthy,,3.0,
trusty,,2.0,
truth,,35.0,
"truth

done",,1.0,
truthful,,1.0,
truthfully,,1.0,
truths,,1.0,
turmoil,1.0,,
tutor,,,6.0
"tutor
is",,,1.0
tutored,,,1.0
tutorials,,,1.0
tutoring,,,2.0
tutors,,,1.0
type,,,40.0
typed,,,2.0
types,,,14.0
typing,,,1.0
ugh,12.0,,
uglier,2.0,,
ugly,26.0,,
"ugly
and",1.0,,
unattractive,9.0,,
uncertain,3.0,,
uncertainties,1.0,,
uncertainty,2.0,,
uncomfortable,15.0,,
undergrad,,,29.0
"undergrad

ua",,,1.0
undergrads,,,20.0
undergraduate,,,10.0
undergraduates,,,4.0
unemployed,,,1.0
unfortunate,4.0,,
unfortunately,22.0,,
ungrateful,5.0,,
unhappiness,2.0,,
"unhappiness

cat",1.0,,
unhappy,7.0,,
"unhappy

no",1.0,,
unimportant,1.0,,
universities,,,11.0
university,,,17.0
unpleasant,3.0,,
unproductive,,,5.0
unprotected,1.0,,
unsavory,1.0,,
unsure,3.0,,
unwelcome,1.0,,
unwelcoming,1.0,,
upperclassman,,,5.0
"upperclassman
even",,,1.0
upperclassmen,,,9.0
upset,33.0,,
upsets,1.0,,
upsetting,2.0,,
useful,,16.0,
valuable,,10.0,
value,,36.0,
valued,,5.0,
values,,10.0,
valuing,,1.0,
varsity,,,2.0
vicious,1.0,,
viciously,1.0,,
victim,26.0,,
victimhood,1.0,,
victimization,1.0,,
victimized,3.0,,
victims,20.0,,
vigorous,,2.0,
vile,1.0,,
villain,1.0,,
villainizing,2.0,,
"villains

you",1.0,,
violate,4.0,,
violated,2.0,,
"violated
i",1.0,,
violates,1.0,,
violating,3.0,,
violation,2.0,,
violations,1.0,,
violent,5.0,,
violently,3.0,,
virtue,,1.0,
vital,,1.0,
vp,,,2.0
vpr,,,5.0
vulnerabilities,1.0,,
vulnerable,2.0,,
wage,,,13.0
wages,,,2.0
war,24.0,,
warehouse,,,2.0
warfare,2.0,,
warm,,20.0,
warmer,,3.0,
warming,,8.0,
warms,,1.0,
warmth,,2.0,
warring,1.0,,
wars,6.0,,
weak,17.0,,
"weak

i",1.0,,
weaker,2.0,,
weaklings,1.0,,
weakness,1.0,,
"weakness
",1.0,,
wealth,,2.0,
wealthy,,5.0,
weapon,5.0,,
weaponised,1.0,,
weapons,1.0,,
weep,1.0,,
weeping,1.0,,
weird,79.0,,
"weird
as",1.0,,
"weird
but",1.0,,
weirded,2.0,,
weirding,3.0,,
weirdly,1.0,,
weirdo,3.0,,
weirdos,1.0,,
weirdright,1.0,,
welcome,,14.0,
welcomed,,3.0,
welcoming,,12.0,
welfare,,,7.0
well,,271.0,
"well

but",,1.0,
"well

however",,1.0,
"well

i",,1.0,
"well

i’m",,1.0,
"well

little",,1.0,
"well

so",,1.0,
"well
did",,1.0,
"well
like",,1.0,
"well
til",,1.0,
wellbeing,,10.0,
"wellbeing
however",,1.0,
wellcomposed,,1.0,
wellconnected,,1.0,
welldefined,,1.0,
welled,,1.0,
wellesley,,14.0,
wellesly,,2.0,
wellfuck,,1.0,
wellgrounded,,1.0,
wellinformed,,2.0,
wellintentioned,,3.0,
wellknown,,2.0,
wellliked,,1.0,
wellmaintained,,1.0,
wellmanaged,,1.0,
wellmeaning,,1.0,
welloff,,1.0,
wellpaying,,1.0,
wellrepresented,,1.0,
wellrested,,2.0,
wellseek,,1.0,
wellthoughtout,,1.0,
well”,,1.0,
whine,4.0,,
whined,1.0,,
whiners,2.0,,
whining,13.0,,
whore,7.0,,
whores,1.0,,
wicked,1.0,,
wimp,1.0,,
win,,15.0,
winner,,3.0,
"winner

love",,1.0,
winners,,1.0,
winning,,8.0,
wins,,4.0,
wisdom,,4.0,
wise,,6.0,
wisely,,1.0,
wiser,,1.0,
witch,1.0,,
woe,1.0,,
woes,1.0,,
won,,11.0,
wonderful,,37.0,
wonderfully,,2.0,
worked,,,30.0
worker,,,5.0
workers,,,13.0
working,,,104.0
"working
youll",,,1.0
workings,,,2.0
works,,,33.0
worried,50.0,,
worries,3.0,,
worry,42.0,,
worrying,11.0,,
worse,90.0,,
"worse
and",1.0,,
worsens,1.0,,
worship,,5.0,
worshiper,,1.0,
worshiping,,1.0,
worshipping,,1.0,
worships,,1.0,
worst,61.0,,
worthwhile,,3.0,
wow,,22.0,
"wow
hundred",,1.0,
"wow
tell",,1.0,
wowwwww,,1.0,
wow…,,1.0,
wrong,181.0,,
"wrong

and",1.0,,
"wrong

asides",1.0,,
"wrong

redefining",1.0,,
"wrong
in",1.0,,
wrongbad,1.0,,
wronged,1.0,,
wrongly,2.0,,
wrongnot,1.0,,
wrongs,3.0,,
yay,,8.0,
yearn,1.0,,
